TDL2048-Demo
alpha = 0.1
total = 5000000
seed = 2689549431
6-tuple pattern 012345, size = 16777216 (64MB)
6-tuple pattern 456789, size = 16777216 (64MB)
6-tuple pattern 012456, size = 16777216 (64MB)
6-tuple pattern 45689a, size = 16777216 (64MB)
1000	mean = 7727.33	max = 26968
	512	1.6%	(99.7%)
	1024	9.6%	(98.1%)
	2048	22.6%	(88.5%)
	4096	57.8%	(65.9%)
	8192	8.1%	(8.1%)
99000	mean = 63850	max = 170636
	256	0.4%	(100%)
	512	1.2%	(99.6%)
	1024	8.4%	(98.4%)
	2048	22.5%	(90%)
	4096	58.8%	(67.5%)
	8192	8.7%	(8.7%)
100000	mean = 65303.1	max = 183220
	256	0.2%	(100%)
	512	2%	(99.8%)
	1024	7.4%	(97.8%)
	2048	21.1%	(90.4%)
	4096	59.2%	(69.3%)
	8192	10.1%	(10.1%)
6-tuple pattern 012345 is saved to 2048.ckpt
6-tuple pattern 456789 is saved to 2048.ckpt
6-tuple pattern 012456 is saved to 2048.ckpt
6-tuple pattern 45689a is saved to 2048.ckpt
101000	mean = 65348.2	max = 169300
	256	0.2%	(100%)
	512	1.9%	(99.8%)
	1024	8%	(97.9%)
	2048	22.6%	(89.9%)
	4096	55.5%	(67.3%)
	8192	11.8%	(11.8%)
102000	mean = 65201.1	max = 167896
	512	0.7%	(100%)
	1024	8.4%	(99.3%)
	2048	23.8%	(90.9%)
	4096	57.2%	(67.1%)
	8192	9.9%	(9.9%)
103000	mean = 64748.7	max = 174704
	512	1.7%	(100%)
	1024	8.7%	(98.3%)
	2048	24.1%	(89.6%)
	4096	54.1%	(65.5%)
	8192	11.4%	(11.4%)
104000	mean = 64985.9	max = 177424
	256	0.2%	(100%)
	512	2.1%	(99.8%)
	1024	8.4%	(97.7%)
	2048	21.7%	(89.3%)
	4096	57.2%	(67.6%)
	8192	10.4%	(10.4%)
105000	mean = 64914.6	max = 171024
	256	0.3%	(100%)
	512	2.3%	(99.7%)
	1024	6.7%	(97.4%)
	2048	22.4%	(90.7%)
	4096	58.4%	(68.3%)
